gene,external_gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,entrezgene_description
103818267,SERINC1,0.3871444041219405,7.895507252672698,6.651570337848842,2.559370962987618e-9,2.927152570368939e-5,10.000620913488554,5.957620432829574,serine incorporator 1
103813327,HEBP1,-0.6038304475473302,3.983279167179413,-6.2958408607295535,2.1661184246165533e-8,1.238694821116976e-4,8.574309109959938,-5.59818155524844,heme binding protein 1
103815780,NA,-0.4465075648492416,6.06458188403774,-6.149845684081887,3.9284910394735884e-8,1.4976717339486477e-4,8.028953188280969,-5.494036561534935,NA
115484737,NA,-0.8887019195821113,2.878685304494557,-6.11900894248737,6.399847037930314e-8,1.5892006318698985e-4,7.936669288253009,-5.407253674221568,NA
103823683,NA,0.4211622190794144,2.662966608207027,5.972276802170996,6.947628888125813e-8,1.5892006318698985e-4,7.4322956276712455,5.39252019345877,NA
103814001,AP3M1,-0.3080368214028766,4.084283623777029,-5.744629117305247,1.910473730274988e-7,3.321486140492688e-4,6.5964416183834835,-5.207844059364919,adaptor related protein complex 3 subunit mu 1
103820730,TRAT1,-0.4013118782864087,4.376558235661195,-5.6819530345138185,2.0329109891972383e-7,3.321486140492688e-4,6.425520116616737,-5.196302739627867,T-cell receptor-associated transmembrane adapter 1
103818289,NA,0.4932692994547656,5.5071932433995086,5.674001164670593,2.4573761494681984e-7,3.513126377683473e-4,6.349043986809315,5.160921194828518,NA
103815170,NA,-0.611964655883859,3.1310094297226154,-5.419858773958818,5.835441792254709e-7,6.099065833685113e-4,5.495851864516872,-4.996585141059254,NA
103815819,ASB9,-0.5093694260435035,4.072156684036802,-5.426164872801428,6.704233526746923e-7,6.099065833685113e-4,5.468947995603175,-4.969741170580746,ankyrin repeat and SOCS box containing 9
103813227,TST,-0.3133680593591115,2.7815361849703413,-5.431435194629333,7.077903744205263e-7,6.099065833685113e-4,5.496153234473842,-4.959213800881769,thiosulfate sulfurtransferase
103827408,ITM2B,-0.31606284250605166,6.523872267272609,-5.439514618989422,7.440760337676975e-7,6.099065833685113e-4,5.497425607279181,-4.9494915621435975,integral membrane protein 2B
127060867,NA,0.482973975844597,4.014209506407166,5.370719487323247,7.613791509323405e-7,6.099065833685113e-4,5.297695527015537,4.945015221354632,NA
103818075,YPEL1,0.29960181760993443,8.384296674355271,5.354111549060925,7.644187090952633e-7,6.099065833685113e-4,5.2514706772999045,4.944239016617722,yippee like 1
103823307,NA,-0.42415247184809424,8.58604573289873,-5.361240288939728,7.99912455235435e-7,6.099065833685113e-4,5.259916166474171,-4.935388802362454,NA
103826195,LONRF1,0.19962601497577204,7.074196635741428,5.359904860326543,8.818311845126915e-7,6.260437041143039e-4,5.23815433799967,4.916326857356198,LON peptidase N-terminal domain and ring finger 1
103812923,RAB5A,0.22035255133058929,6.160929297304085,5.32216003571197,9.305537264967357e-7,6.260437041143039e-4,5.127425247746122,4.905782976237114,"RAB5A, member RAS oncogene family"
103821870,TIMM13,-0.3069288930451304,3.718463089527555,-5.285735623509282,1.0678786767484573e-6,6.604248784609283e-4,5.003662813250534,-4.878699034301061,translocase of inner mitochondrial membrane 13
103826057,NA,0.2353925487544073,9.021409054790688,5.280713705369086,1.1247723765953163e-6,6.604248784609283e-4,4.974343916258841,4.868449533811119,NA
103824736,PSMB4,-0.26540003568263515,5.266953530768501,-5.3211149343761415,1.1548918046007315e-6,6.604248784609283e-4,5.0906151700372435,-4.863223730810563,proteasome 20S subunit beta 4
103812931,NA,0.2526037111863437,7.481602765303628,5.255926011601897,1.2522715557576529e-6,6.82010942057156e-4,4.887700699345321,4.847182601912115,NA
103819569,GABARAPL1,0.2257993472824471,7.2881130377244085,5.2177099346639375,1.4716973745059273e-6,7.360681888866691e-4,4.753377357070324,4.815040909080147,gamma-aminobutyric acid receptor-associated protein-like 1
103823707,P4HA1,0.345122400953644,3.524193354103744,5.210035117982138,1.480245549042003e-6,7.360681888866691e-4,4.737836658823789,4.813884265533904,prolyl 4-hydroxylase subunit alpha 1
103812730,NA,0.20136373619302228,6.596529989002663,5.19679330408465,1.676728544100007e-6,7.990310149529908e-4,4.672968937809843,4.788930117301011,NA
108961656,MRPL43,-0.4412284392115742,2.00581465851828,-5.117667349238685,2.4156956114380917e-6,0.001073370328578057,4.4124965009755135,-4.715118967730578,mitochondrial ribosomal protein L43
103820222,NA,-0.2522535958682379,5.332013840837226,-5.069033130140673,2.4804480587966807e-6,0.001073370328578057,4.257217739193093,-4.7097302924539655,NA
127059259,NA,-0.6913937115228537,1.2399448554410049,-5.076940509740868,2.533968599423585e-6,0.001073370328578057,4.289279129367118,-4.705377310996117,NA
127060986,NA,-0.33363933503790344,7.31088542041899,-5.042277480035114,3.3054018751513528e-6,0.001350138615932358,4.134928992513547,-4.650868415569466,NA
103818740,TUBB1,-0.24699180166828505,8.355138387842246,-4.974829676095258,3.517343991565619e-6,0.0013871676976391718,3.938308516965246,-4.638036665502276,tubulin beta 1 class VI
RBIS,NA,-0.19205130884281418,4.0767753630068455,-4.984440111449945,4.085119551159045e-6,0.0015573837435535335,3.9441293149093495,-4.60700409745361,NA
103824084,HRAS,-0.31588662246304455,5.50597796200405,-4.952274508736971,4.360164072487838e-6,0.0016086192418401097,3.837911132480995,-4.5934313940035105,"HRas proto-oncogene, GTPase"
103812572,MLNR,-0.3938961003403869,5.175069630802931,-4.941920895822822,4.7583607058453195e-6,0.001695336109815302,3.801330689459437,-4.575168846213496,motilin receptor
103824346,MRTO4,-0.2878881304045049,2.801058652884788,-4.874518474080124,4.891675406479406e-6,0.001695336109815302,3.625724169478942,-4.569380690051856,"MRT4 homolog, ribosome maturation factor"
127060866,NA,0.41743294826281296,6.194731059845155,4.862441525548893,5.599110000451152e-6,0.001820266780998897,3.55355400018715,4.540988447529153,NA
103824150,,-0.3594172589557274,1.9440245297517431,-4.833437710903428,5.680421960613313e-6,0.001820266780998897,3.4978259149319975,-4.537948158465868,uncharacterized LOC103824150
HROB,NA,0.3730152901356405,6.690009777493756,4.895505245400133,5.7296147692542e-6,0.001820266780998897,3.640465925917857,4.536128979957176,NA
103824741,NA,-0.37623233988507354,3.930988523823419,-4.855060706672489,6.2804850271633014e-6,0.0018949134906956512,3.513433218636898,-4.516720042234236,NA
103815744,ZBTB21,0.23472448097202392,6.995276520848071,4.824400009253046,6.29594409779092e-6,0.0018949134906956512,3.426888573734826,4.516199206058996,zinc finger and BTB domain containing 21
103813189,ALDH1L2,1.736091619516338,-3.476877664131385,4.747541252665258,7.090533081278878e-6,0.0020793442782201677,3.2320915020433514,4.490952600690677,aldehyde dehydrogenase 1 family member L2
103822269,NA,0.1596926592162773,6.5152494237220315,4.810753343782094,7.547663793744014e-6,0.0021580657702262576,3.361988660339252,4.477628949913143,NA
103812328,RGN,-0.9001573787353138,-1.2644155383298827,-4.694747175109254,8.661948107512864e-6,0.002416260987942064,3.1855744671042228,-4.448134019851126,regucalcin
127061054,NA,-0.5855584019468012,0.22904424125989656,-4.778907682971499,9.331001945015202e-6,0.0025409206963128298,3.2554095310377953,-4.432122400250508,NA
103824504,,0.21047488096730316,11.214570190570928,4.752276828338692,9.615925638805398e-6,0.002551775647485389,3.162637352734767,4.42563441832229,zinc finger CCCH-type containing 11A
103821938,NA,-0.3448951501569355,6.390509623514694,-4.738409718265562,9.893372106966701e-6,0.002551775647485389,3.121853505797427,-4.419490825705605,NA
103816717,KATNB1,-0.2332009647214428,6.401006756604828,-4.683295363098669,1.0040211955656423e-5,0.002551775647485389,2.980989008899267,-4.416305585284156,katanin regulatory subunit B1
103823075,,0.170586307606297,6.084858681011597,4.674106588414921,1.0428486390625332e-5,0.0025928391054256938,2.944883870117205,4.408092799781109,zinc finger FYVE-type containing 16
103814970,,0.2002048973084305,8.09196155040606,4.647613283583052,1.1448680295658608e-5,0.0026354879831711276,2.8592326712308562,4.387830764212645,ring finger protein 220
103817478,NA,0.16386706471445622,7.787495763304477,4.657968806126004,1.1458721780935873e-5,0.0026354879831711276,2.8809861746503422,4.387640031689055,NA
103824172,DDC,0.2648439697018299,4.407960457245935,4.711889173401899,1.1620843523349686e-5,0.0026354879831711276,3.028796278406652,4.384582502109901,dopa decarboxylase
103813671,PLEKHF2,0.21783509237090115,4.31674360485503,4.726631382206771,1.1625471153418575e-5,0.0026354879831711276,3.070312043780878,4.384495826477961,pleckstrin homology and FYVE domain containing 2
103816556,,0.5799912506470171,1.0300245123761225,4.615308236843524,1.2404139487818264e-5,0.0026354879831711276,2.775367184550265,4.370360823912799,rho GTPase-activating protein 20-like
103815401,BDH1,-0.436640762990113,4.775951938079957,-4.634888443361667,1.2485053749677408e-5,0.0026354879831711276,2.811565977399412,-4.368940913570292,3-hydroxybutyrate dehydrogenase 1
103823421,NA,0.2645640051338938,6.8561018419093696,4.665961002852911,1.3070952146239948e-5,0.0026354879831711276,2.8801522577445864,4.358913900054137,NA
103821908,PLEKHJ1,0.18648686347003718,7.367241763077386,4.6410752787089224,1.3115985025554915e-5,0.0026354879831711276,2.8106745392051646,4.35816105984085,pleckstrin homology domain containing J1
103815235,NA,0.19226301106101662,8.00463478597046,4.620492320365182,1.314545708051443e-5,0.0026354879831711276,2.758656786665486,4.3576696926796314,NA
127059518,NA,-0.19402636659415862,6.0165207019079725,-4.6176936078801365,1.3172265047006846e-5,0.0026354879831711276,2.7555954347866995,-4.3572236539524605,NA
103824051,NA,0.14224261859844578,8.431467898956221,4.653628065566013,1.3180152024617114e-5,0.0026354879831711276,2.84303330535921,4.357092592998438,NA
103815077,MIER1,0.2170465922422622,8.850255448772687,4.67186870830387,1.3495018696382633e-5,0.0026354879831711276,2.893763098921709,4.35192051918168,MIER1 transcriptional regulator
103823235,FKTN,0.27532001110683924,4.00427769731159,4.618448541397442,1.359567989919529e-5,0.0026354879831711276,2.745252640607598,4.350291300471134,fukutin
103826833,NA,0.5485233948450019,7.601892839127251,4.66575797524036,1.387273081108502e-5,0.0026442083566252488,2.8759315403340224,4.345865898024004,NA
103815338,NA,1.2011972848313706,-3.1046767159807644,4.570059710990568,1.4112328959499753e-5,0.0026442083566252488,2.6505038920278388,4.342106191931419,NA
103818270,DGCR2,0.13188553231854305,7.079725658766782,4.656637110458554,1.464921856927218e-5,0.0026442083566252488,2.843161754158074,4.333897825010011,DiGeorge syndrome critical region gene 2
103826570,AFG3L2,0.1767275786968021,7.473577171850654,4.6317587394271476,1.4761665076317657e-5,0.0026442083566252488,2.767690670257866,4.33221504809542,AFG3 like matrix AAA peptidase subunit 2
103824497,MMGT1,0.2373099116593873,2.739987475910074,4.570872415435663,1.4796654264581264e-5,0.0026442083566252488,2.622625038857711,4.331693923159923,membrane magnesium transporter 1
103827035,NA,-0.39881780057285243,2.4060957276358446,-4.621003516533521,1.5082798138547736e-5,0.002653876343239545,2.739460644672116,-4.327475697024884,NA
103814599,TRAF3IP1,-0.3400040069354351,2.757381080799017,-4.655502028771702,1.5483818589728893e-5,0.0026824643189751873,2.8396696992608703,-4.3216906393750625,TRAF3 interacting protein 1
103824665,NA,0.23672635449860335,7.819027474545163,4.626965783641293,1.57143577311653e-5,0.0026824643189751873,2.747440915870131,4.318429252282478,NA
103826789,TUB,0.3649238620556312,2.056610957586689,4.572957106258439,1.679104257500692e-5,0.0028241052048581495,2.5893733866112747,4.30377733338038,TUB bipartite transcription factor
103824325,NA,-0.2608537360042633,5.7967016227326615,-4.577547174931139,1.7531821931287512e-5,0.0029059630062048592,2.5948569530319014,-4.294207790552959,NA
103826672,CHST1,-0.4005012924295164,6.4731106386569985,-4.599725504997366,1.7889376590599146e-5,0.0029228685723811775,2.6572435094513738,-4.289725903541844,carbohydrate sulfotransferase 1
103819814,TOB1,0.3084641810708053,7.924674320228291,4.600389211684048,1.8775657460368237e-5,0.0030244675263976276,2.654797239766374,4.278974256932211,"transducer of ERBB2, 1"
